,y,x,street_count,highway,ref
364861168,-37.8243635,144.9585022,4,,
364861229,-37.8242381,144.958419,3,,
364861230,-37.8240092,144.9586917,3,,
367099135,-37.8061371,144.9766558,1,,
369109134,-37.8212791,144.9671813,3,,
369109139,-37.8220157,144.9669729,3,,
381825173,-37.8095785,144.9765775,4,,
387152924,-37.8061405,144.9449158,4,,
387152925,-37.80622,144.9448585,4,,
387152932,-37.8055654,144.9449297,3,,
387152934,-37.807741,144.9436412,4,,
387152936,-37.8077982,144.9437741,4,,
387152937,-37.8083253,144.9434194,3,,
387152981,-37.8055884,144.9440126,3,,
387152982,-37.8056853,144.9449077,3,,
387152983,-37.8056954,144.9450398,3,,
387152989,-37.8093004,144.9494759,4,,
387152991,-37.805398,144.9486787,4,,
387152992,-37.8054804,144.948602,4,,
387152993,-37.8064084,144.9476123,3,,
387152995,-37.8070234,144.9469362,4,,
387152996,-37.8070965,144.9468502,4,,
387153000,-37.8094812,144.9443213,3,,
387153004,-37.8086467,144.9454256,3,,
387153023,-37.8063079,144.9498941,4,,
387153031,-37.8062153,144.9497858,4,,
387153032,-37.8077264,144.9478001,4,,
387153036,-37.8100015,144.9447414,3,,
387153086,-37.8068355,144.951438,3,,
387153087,-37.8067403,144.9520327,3,,
387153088,-37.807735,144.9518509,3,,
387153091,-37.8072798,144.9507576,4,,
387153094,-37.8106324,144.9452414,3,,
387153095,-37.8069542,144.9542763,3,,
387153097,-37.8082061,144.9517453,4,,
387153098,-37.8082664,144.9516265,4,,
387153101,-37.8103024,144.9474073,4,,
387153106,-37.8084123,144.9556435,3,,
387700308,-37.8209312,144.9653878,3,,
387700309,-37.8210529,144.9653173,3,,
400738474,-37.8119944,144.9415213,3,,
408099013,-37.8170914,144.9780379,3,,
408099016,-37.8170456,144.9778573,3,,
452380773,-37.824947,144.9487745,3,,
452381244,-37.8249429,144.9494591,3,,
452381246,-37.8249861,144.9495247,3,,
458610300,-37.8161081,144.9764161,3,,
471259500,-37.8050009,144.9476894,4,,
501027474,-37.8074542,144.9708637,3,,
506043032,-37.8212793,144.9463412,4,,
531390737,-37.8213826,144.946364,4,,
560985651,-37.8206681,144.9461856,3,,
560985671,-37.8207729,144.945562,3,,
560986691,-37.8198801,144.9438039,3,,
560986727,-37.8198332,144.94366,4,,
560986728,-37.8199098,144.9436993,3,,
560986784,-37.8200733,144.9428084,4,,
560986785,-37.8201633,144.9428076,5,,
560986804,-37.8203948,144.9420364,3,,
560987190,-37.8214257,144.9454797,3,,
560987717,-37.8204225,144.9402087,3,,
571730335,-37.8249766,144.9577926,3,,
571730618,-37.8188302,144.9567625,3,,
571730621,-37.818797,144.9569116,3,,
572039322,-37.8065099,144.9518045,3,,
572039368,-37.8065998,144.951883,3,,
576876287,-37.8185792,144.9756236,3,,
576877847,-37.815959,144.9722879,4,,
576877857,-37.8160834,144.9723384,4,,
582798753,-37.8233335,144.9791528,3,,
588194334,-37.8145907,144.9718229,3,,
588876889,-37.8107823,144.9711967,3,,
588876900,-37.8108774,144.9708791,3,,
589402268,-37.8110837,144.9701883,4,traffic_signals,
589402289,-37.813041,144.9711064,4,traffic_signals,
589402311,-37.810034,144.9697155,4,,
589403294,-37.8091064,144.9692918,4,traffic_signals,
589472357,-37.8093039,144.9728631,4,,
589472358,-37.8093223,144.9730396,4,,
589664669,-37.8215374,144.9551298,3,,
589696723,-37.821346,144.9545757,3,,
589747750,-37.8213701,144.9537644,3,,
589763533,-37.822013,144.9507241,3,,
589814363,-37.8224038,144.9475061,3,,
591215868,-37.8246324,144.9483971,3,,
591274706,-37.8239191,144.9562884,3,traffic_signals,
591276363,-37.82381,144.9564523,3,,
591294679,-37.8175161,144.9675288,3,,
591392066,-37.8197097,144.9599048,4,,
591392087,-37.8196314,144.9601912,4,,
591393322,-37.8193386,144.9614893,3,traffic_signals,
591407730,-37.8231755,144.9607294,4,,
591407783,-37.8231941,144.960931,4,,
591407828,-37.823341,144.9608908,4,,
591407871,-37.8233216,144.960685,4,,
591408716,-37.8192631,144.9609873,4,,
591408731,-37.8192221,144.9611271,4,,
591426700,-37.8188115,144.9625514,4,,
595594347,-37.8101376,144.9697646,4,,
595594348,-37.8101801,144.9696194,4,,
595594352,-37.810906,144.9671561,4,,
595594353,-37.8109951,144.9668493,4,,
595594354,-37.8111151,144.9664363,3,,
595594361,-37.8127481,144.9608147,3,,
595594370,-37.8144545,144.9548937,4,,
595594371,-37.8144947,144.954754,4,,
598154601,-37.8175499,144.9674078,4,,
607756857,-37.8179299,144.9619818,4,traffic_signals,
607756858,-37.8178879,144.9621366,4,traffic_signals,
607756866,-37.8174195,144.9619198,3,,
613315545,-37.8143356,144.9615681,2,,
613315547,-37.8143273,144.9616012,1,,
617564740,-37.8211221,144.9654408,3,,
628761345,-37.8083765,144.979157,3,,
633912993,-37.8151107,144.9562982,3,,
634785679,-37.8140072,144.9396638,4,,
634785708,-37.8136776,144.9394397,3,,
642420359,-37.8199759,144.9550574,3,,
650271243,-37.8141514,144.9775317,3,,
650271563,-37.8141627,144.9776608,3,,
663497749,-37.8153517,144.972162,4,,
702352970,-37.8065655,144.9428973,3,,
